Date,Open,High,Low,Close,Adj Close,Volume
2021-09-16,38.299999,39.669998,38.090000,39.520000,39.520000,25374000
2021-09-17,39.900002,40.224998,39.290001,39.750000,39.750000,32165000
2021-09-20,38.880001,40.220001,38.730000,39.790001,39.790001,35417600
2021-09-21,42.340000,45.000000,42.180000,44.360001,44.360001,106631700
2021-09-22,44.900002,46.619999,44.610001,44.869999,44.869999,56455100
2021-09-23,45.349998,45.840000,44.709999,45.480000,45.480000,26232800
2021-09-24,45.459999,47.044998,45.291000,46.630001,46.630001,29458300
2021-09-27,46.770000,47.430000,46.189999,47.250000,47.250000,23034800
2021-09-28,46.700001,47.000000,45.759998,45.980000,45.980000,23707900
2021-09-29,46.000000,46.529999,44.299999,44.520000,44.520000,24599500
2021-09-30,44.709999,45.365002,43.860001,44.799999,44.799999,16650600
2021-10-01,45.915001,47.250000,45.790001,47.049999,47.049999,25428300
2021-10-04,46.470001,46.830002,45.200001,45.720001,45.720001,21588200
2021-10-05,45.910000,46.080002,45.345001,45.610001,45.610001,12433900
2021-10-06,45.330002,47.180000,45.000000,47.009998,47.009998,24868700
2021-10-07,47.639999,48.237999,46.889999,47.910000,47.910000,25961600
2021-10-08,48.080002,48.880001,47.605000,47.770000,47.770000,17980400
2021-10-11,47.700001,47.869999,46.279999,46.290001,46.290001,16336800
2021-10-12,46.330002,47.049999,46.154999,46.720001,46.720001,12404200
2021-10-13,46.259998,47.000000,45.939999,46.410000,46.410000,13754400
2021-10-14,46.980000,47.939999,46.840000,47.279999,47.279999,18514000
2021-10-15,47.910000,48.840000,47.340000,48.360001,48.360001,20581700
2021-10-18,47.680000,47.950001,46.750000,47.070000,47.070000,19806700
2021-10-19,47.200001,47.689999,46.740002,47.049999,47.049999,16500200
2021-10-20,47.150002,47.540001,45.930000,46.000000,46.000000,15570900
2021-10-21,45.970001,47.540001,45.520000,46.470001,46.470001,15741000
2021-10-22,46.000000,46.500000,45.230000,45.509998,45.509998,19259200
2021-10-25,45.669998,46.070000,45.016998,45.720001,45.720001,12955500
2021-10-26,46.279999,47.689999,45.860001,46.020000,46.020000,19491800
2021-10-27,46.470001,46.549999,44.165001,44.730000,44.730000,26999800
2021-10-28,45.000000,45.411999,44.382999,44.619999,44.619999,14768800
2021-10-29,44.490002,44.799999,43.570000,43.820000,43.820000,18283200
2021-11-01,44.070000,45.025002,43.650002,44.360001,44.360001,20983900
2021-11-02,44.340000,44.349998,42.331001,42.889999,42.889999,28002600
2021-11-03,45.330002,46.259998,44.709999,45.720001,45.720001,38499600
2021-11-04,45.540001,46.529999,44.990002,45.270000,45.270000,31903000
2021-11-05,47.500000,48.740002,46.610001,47.189999,47.189999,45641500
2021-11-08,47.080002,47.645000,45.820000,45.889999,45.889999,25257900
2021-11-09,45.910000,45.980000,43.680000,45.509998,45.509998,33588900
2021-11-10,44.900002,45.250000,42.599998,43.380001,43.380001,33712200
2021-11-11,43.320000,43.720001,42.439999,43.279999,43.279999,27307800
2021-11-12,43.570000,45.130001,43.570000,45.119999,45.119999,29804600
2021-11-15,45.110001,45.259998,43.560001,43.610001,43.610001,19690000
2021-11-16,45.540001,46.660000,44.861000,45.759998,45.759998,46219700
2021-11-17,45.360001,45.639999,43.900002,44.110001,44.110001,25036400
2021-11-18,44.529999,45.325001,43.575001,45.000000,45.000000,27839900
2021-11-19,43.930000,44.720001,43.500000,44.230000,44.230000,21465500
2021-11-22,43.959999,44.400002,41.805000,42.599998,42.599998,31355200
2021-11-23,42.380001,43.139999,41.599998,42.680000,42.680000,18099400
2021-11-24,42.000000,42.369999,41.240002,42.080002,42.080002,17118200
2021-11-26,39.610001,40.619999,38.770000,40.520000,40.520000,35453600
2021-11-29,41.060001,41.250000,38.779999,39.700001,39.700001,27724400
2021-11-30,39.250000,39.950001,37.035000,38.000000,38.000000,55268500
2021-12-01,39.450001,39.500000,35.799999,36.020000,36.020000,47316400
2021-12-02,36.549999,38.395000,36.450001,38.119999,38.119999,32267000
2021-12-03,37.419998,37.840000,35.259998,35.849998,35.849998,47392700
2021-12-06,35.950001,38.689999,35.439999,38.490002,38.490002,36689200
2021-12-07,39.400002,40.220001,37.759998,38.080002,38.080002,40443300
2021-12-08,38.299999,39.410000,38.009998,38.810001,38.810001,29688600
2021-12-09,38.439999,38.700001,37.474998,37.540001,37.540001,22994800
2021-12-10,37.410000,37.869999,36.610001,36.669998,36.669998,25760600
2021-12-13,36.180000,36.307999,34.880001,35.730000,35.730000,38394700
2021-12-14,35.250000,38.450001,35.209999,37.259998,37.259998,45491700
2021-12-15,36.910000,38.375000,36.240002,37.830002,37.830002,37612600
2021-12-16,38.250000,38.577000,37.125000,37.700001,37.700001,31478400
2021-12-17,37.200001,40.000000,36.740002,39.680000,39.680000,51048100
2021-12-20,38.450001,40.148998,38.080002,39.700001,39.700001,28153700
2021-12-21,39.820000,42.080002,39.820000,41.970001,41.970001,28385200
2021-12-22,41.950001,43.230000,41.450001,43.020000,43.020000,27675700
2021-12-23,43.029999,44.349998,42.759998,43.910000,43.910000,21763400
2021-12-27,43.439999,44.240002,42.820000,42.959999,42.959999,28285000
2021-12-28,42.599998,43.740002,42.299999,42.540001,42.540001,21481000
2021-12-29,42.720001,42.930000,41.814999,42.459999,42.459999,15908600
2021-12-30,42.290001,43.340000,42.200001,42.660000,42.660000,13516300
2021-12-31,42.529999,43.119999,41.930000,41.930000,41.930000,13746900
2022-01-03,42.480000,44.404999,41.889999,43.950001,43.950001,26089000
2022-01-04,44.230000,44.799999,42.580002,44.419998,44.419998,30845300
2022-01-05,44.290001,45.900002,42.860001,43.240002,43.240002,28498700
2022-01-06,43.110001,44.080002,40.970001,42.029999,42.029999,32434300
2022-01-07,42.000000,42.650002,41.200001,41.509998,41.509998,24875800
2022-01-10,41.480000,42.810001,40.160000,42.599998,42.599998,29783800
2022-01-11,42.360001,44.169998,42.189999,43.619999,43.619999,22161000
2022-01-12,43.990002,44.099998,42.535000,43.040001,43.040001,18993900
2022-01-13,43.340000,43.919998,42.724998,42.869999,42.869999,17190100
2022-01-14,42.400002,42.720001,40.355000,41.509998,41.509998,25817800
2022-01-18,40.959999,40.959999,38.369999,38.410000,38.410000,36873700
2022-01-19,38.209999,38.889999,37.115002,37.860001,37.860001,35552500
2022-01-20,38.290001,39.639999,37.750000,37.820000,37.820000,21720100
2022-01-21,37.410000,37.599998,35.845001,35.939999,35.939999,41836800
2022-01-24,34.910000,36.419998,33.509998,36.279999,36.279999,49261600
2022-01-25,35.470001,36.090000,34.514999,34.820000,34.820000,29577000
2022-01-26,36.070000,36.680000,34.450001,34.799999,34.799999,29495900
2022-01-27,35.369999,35.790001,33.939999,34.090000,34.090000,26086700
2022-01-28,34.169998,35.220001,32.810001,35.209999,35.209999,28007100
2022-01-31,35.340000,37.540001,35.299999,37.400002,37.400002,22899300
2022-02-01,37.630001,38.705002,37.200001,38.610001,38.610001,19669900
2022-02-02,38.529999,38.619999,37.029999,37.169998,37.169998,19591100
2022-02-03,36.080002,36.740002,34.299999,34.540001,34.540001,32192100
2022-02-04,35.000000,37.355000,34.360001,37.049999,37.049999,33082100
2022-02-07,36.985001,39.049999,36.985001,37.540001,37.540001,30303200
2022-02-08,37.250000,38.570000,36.950001,38.340000,38.340000,25857600
2022-02-09,38.810001,40.400002,38.160000,40.189999,40.189999,52614100
2022-02-10,41.000000,42.560001,37.349998,37.750000,37.750000,113915000
2022-02-11,37.959999,38.650002,34.480000,35.290001,35.290001,72568400
2022-02-14,35.200001,35.990002,34.320000,34.590000,34.590000,44556700
2022-02-15,35.439999,37.209999,35.110001,37.090000,37.090000,38183500
2022-02-16,36.630001,37.389999,36.270000,36.580002,36.580002,33165900
2022-02-17,36.130001,37.430000,35.410000,35.709999,35.709999,28432100
2022-02-18,35.520000,36.325001,34.669998,34.680000,34.680000,28199900
2022-02-22,34.209999,35.099998,33.279999,33.680000,33.680000,28731300
2022-02-23,33.889999,34.209999,32.299999,32.389999,32.389999,27254800
2022-02-24,29.969999,34.950001,29.709999,34.869999,34.869999,42978100
2022-02-25,34.840000,35.271999,34.009998,34.980000,34.980000,23691500
2022-02-28,35.259998,36.310001,34.985001,36.029999,36.029999,44865200
2022-03-01,35.450001,35.599998,33.650002,33.889999,33.889999,31436200
2022-03-02,34.000000,34.220001,32.970001,34.040001,34.040001,26112500
2022-03-03,34.220001,34.291000,31.415001,31.719999,31.719999,38337600
2022-03-04,31.500000,31.730000,29.270000,29.830000,29.830000,52098700
2022-03-07,31.480000,31.938000,28.549999,28.570000,28.570000,60265800
2022-03-08,28.510000,31.570000,28.278000,30.740000,30.740000,55014700
2022-03-09,31.750000,32.730000,31.200001,31.500000,31.500000,33734500
2022-03-10,30.860001,31.145000,29.840000,30.410000,30.410000,30785900
2022-03-11,31.299999,31.389999,30.420000,30.760000,30.760000,29454700
2022-03-14,30.510000,30.549999,28.799999,29.270000,29.270000,41897400
2022-03-15,29.520000,30.410000,29.059999,29.799999,29.799999,33060500
2022-03-16,30.530001,32.634998,30.270000,32.610001,32.610001,34688800
2022-03-17,32.340000,32.919998,31.570000,32.849998,32.849998,27278600
2022-03-18,32.520000,33.419998,32.330002,33.360001,33.360001,35827800
2022-03-21,32.820000,32.820000,31.250000,31.980000,31.980000,35200600
2022-03-22,31.930000,33.599998,31.840000,33.349998,33.349998,21852800
2022-03-23,32.709999,33.680000,32.570000,33.060001,33.060001,19024700
2022-03-24,34.740002,34.950001,33.439999,34.700001,34.700001,52533600
2022-03-25,34.549999,34.919998,33.549999,34.060001,34.060001,28078800
2022-03-28,34.139999,34.910000,33.730000,34.770000,34.770000,22175200
2022-03-29,35.570000,37.450001,35.570000,37.189999,37.189999,37969000
2022-03-30,36.660000,37.089001,36.205002,36.580002,36.580002,22306500
2022-03-31,36.500000,36.730000,35.369999,35.680000,35.680000,20608700
2022-04-01,35.680000,36.480000,35.400002,35.980000,35.980000,16793300
2022-04-04,36.400002,36.930000,36.215000,36.509998,36.509998,20217800
2022-04-05,36.349998,36.610001,34.720001,34.959999,34.959999,20984200
2022-04-06,33.855000,34.000000,32.549999,33.410000,33.410000,28854800
2022-04-07,33.340000,33.340000,31.020000,32.270000,32.270000,34581000
2022-04-08,31.920000,32.550999,31.580000,32.049999,32.049999,17991000
2022-04-11,31.360001,32.689999,31.110001,32.040001,32.040001,19680300
2022-04-12,32.400002,33.095001,31.709999,31.990000,31.990000,32619800
2022-04-13,32.000000,33.110001,31.930000,32.630001,32.630001,20186400
2022-04-14,32.860001,33.465000,32.639999,32.680000,32.680000,18763000
2022-04-18,32.549999,32.605000,31.420000,31.790001,31.790001,24413800
2022-04-19,32.160000,33.990002,31.969999,33.799999,33.799999,23319600
2022-04-20,33.990002,34.320000,33.180000,33.209999,33.209999,21330500
2022-04-21,34.250000,34.410000,31.370001,31.680000,31.680000,32937100
2022-04-22,31.620001,32.224998,30.799999,30.830000,30.830000,22748900
2022-04-25,30.590000,32.500000,30.459999,32.439999,32.439999,29416300
2022-04-26,32.040001,32.200001,31.000000,31.330000,31.330000,26981900
2022-04-27,31.100000,31.980000,30.160000,30.680000,30.680000,30762600
2022-04-28,31.000000,32.869999,30.980000,32.820000,32.820000,30251600
2022-04-29,32.520000,33.150002,31.410000,31.480000,31.480000,24948600
2022-05-02,31.240000,31.350000,29.510000,30.389999,30.389999,45651000
2022-05-03,30.150000,30.590000,28.850000,29.469999,29.469999,58340700
2022-05-04,27.410000,28.400000,25.900000,28.100000,28.100000,115601800
2022-05-05,27.870001,28.830000,26.200001,26.830000,26.830000,52804200
2022-05-06,26.840000,26.840000,24.750000,26.070000,26.070000,56575100
2022-05-09,25.410000,26.065001,22.799999,23.049999,23.049999,58095900
2022-05-10,23.850000,24.549999,22.799999,23.670000,23.670000,47982500
2022-05-11,23.280001,24.150000,22.500000,22.570000,22.570000,51137700
2022-05-12,22.150000,24.059999,21.690001,23.290001,23.290001,63999300
2022-05-13,23.879999,24.871000,23.680000,24.389999,24.389999,53577600
2022-05-16,24.309999,24.459999,23.400000,23.590000,23.590000,27285200
2022-05-17,24.320000,24.900000,23.590000,24.200001,24.200001,33859400
2022-05-18,23.980000,24.188000,22.340000,22.459999,22.459999,35747300
2022-05-19,22.290001,23.809999,22.200001,23.240000,23.240000,36461200
2022-05-20,23.809999,24.100000,22.410000,23.350000,23.350000,32104700
2022-05-23,23.320000,23.830000,22.709999,23.780001,23.780001,35204800
2022-05-24,23.690001,23.740000,21.410000,21.549999,21.549999,40726100
2022-05-25,21.709999,22.355000,21.275000,22.040001,22.040001,31270800
2022-05-26,22.150000,23.280001,21.924999,23.100000,23.100000,30199400
2022-05-27,23.490000,24.129999,23.330000,23.670000,23.670000,29710200
2022-05-31,23.500000,23.900000,23.034000,23.200001,23.200001,33194800
2022-06-01,23.530001,23.870001,22.565001,22.940001,22.940001,26383600
2022-06-02,23.070000,24.830000,22.940001,24.740000,24.740000,30691100
2022-06-03,24.170000,24.495001,23.725000,24.150000,24.150000,24283600
2022-06-06,24.860001,25.434999,24.280001,24.730000,24.730000,29834700
2022-06-07,24.200001,25.700001,24.070000,25.299999,25.299999,27453700
2022-06-08,25.700001,26.549999,25.299999,25.830000,25.830000,31225300
2022-06-09,25.940001,26.690001,25.355000,25.440001,25.440001,42063600
2022-06-10,24.799999,24.971001,23.650000,23.719999,23.719999,29868000
2022-06-13,22.219999,22.584999,21.343000,21.570000,21.570000,33130300
2022-06-14,21.719999,21.952000,20.893999,21.090000,21.090000,43006300
2022-06-15,21.340000,22.389999,21.240000,22.030001,22.030001,36073700
2022-06-16,21.040001,21.400000,20.155001,20.469999,20.469999,55312400
2022-06-17,20.370001,21.959999,20.370001,21.809999,21.809999,46728400
2022-06-21,22.000000,22.459999,21.690001,21.760000,21.760000,35257700
2022-06-22,21.410000,22.209999,21.299999,21.500000,21.500000,32314400
2022-06-23,21.629999,22.440001,21.389999,22.370001,22.370001,27010500
2022-06-24,22.480000,23.190001,22.299999,23.030001,23.030001,38140100
2022-06-27,23.450001,23.639999,22.344999,22.860001,22.860001,27153400
2022-06-28,22.969999,23.459999,22.040001,22.080000,22.080000,24350100
2022-06-29,22.110001,22.150000,21.080000,21.469999,21.469999,30704800
2022-06-30,21.110001,21.125999,19.895000,20.459999,20.459999,30882500
2022-07-01,20.700001,21.370001,20.430000,21.340000,21.340000,20693300
2022-07-05,21.170000,22.549999,20.830000,22.520000,22.520000,24500300
2022-07-06,21.500000,22.080000,21.320000,21.500000,21.500000,32689400
2022-07-07,21.639999,22.759001,21.610001,22.740000,22.740000,23121900
2022-07-08,22.430000,22.959999,21.832001,22.340000,22.340000,20231300
2022-07-11,21.950001,22.250000,21.139999,21.190001,21.190001,17546900
2022-07-12,21.280001,21.780001,20.975000,21.570000,21.570000,17373500
2022-07-13,20.930000,21.610001,20.719999,21.500000,21.500000,18994900
2022-07-14,21.250000,21.465000,20.591000,20.650000,20.650000,31561700
2022-07-15,21.000000,21.780001,20.764999,21.670000,21.670000,24503600
2022-07-18,22.170000,23.200001,22.110001,22.580000,22.580000,30935900
2022-07-19,22.750000,23.080000,22.190001,22.670000,22.670000,23148900
2022-07-20,22.889999,24.219999,22.805000,24.120001,24.120001,27844600
2022-07-21,24.020000,24.250000,23.600000,24.230000,24.230000,18425400
2022-07-22,24.330000,24.809999,23.084999,23.299999,23.299999,20209400
2022-07-25,23.270000,23.540001,22.629999,23.350000,23.350000,12923000
2022-07-26,23.150000,23.150000,22.450001,22.549999,22.549999,24402800
2022-07-27,23.000000,23.320000,22.490000,23.090000,23.090000,28384300
2022-07-28,22.889999,23.420000,22.139999,23.309999,23.309999,22886100
2022-07-29,23.180000,23.485001,22.389999,23.450001,23.450001,29406600
2022-08-01,23.430000,24.620001,22.885000,24.600000,24.600000,46960700
2022-08-02,28.490000,29.430000,27.100000,29.250000,29.250000,107926300
2022-08-03,29.719999,31.430000,29.360001,30.190001,30.190001,62061200
2022-08-04,29.780001,32.230000,29.600000,31.850000,31.850000,55573600
2022-08-05,31.200001,32.630001,31.040001,32.009998,32.009998,39963600
2022-08-08,32.330002,32.955002,31.660000,31.850000,31.850000,28064900
2022-08-09,31.370001,31.549999,30.719999,31.059999,31.059999,27042900
2022-08-10,32.439999,33.189999,32.230000,32.799999,32.799999,31318100
2022-08-11,33.160000,33.360001,32.042000,32.240002,32.240002,24624600
2022-08-12,32.590000,32.759998,31.700001,32.470001,32.470001,21950700
2022-08-15,32.099998,32.910000,31.930000,32.490002,32.490002,14149200
2022-08-16,32.080002,32.724998,31.330000,32.380001,32.380001,28072300
2022-08-17,31.650000,31.709999,30.440001,30.719999,30.719999,24239400
2022-08-18,30.559999,30.620001,29.860001,30.150000,30.150000,20831600
2022-08-19,29.500000,29.570000,28.629999,29.010000,29.010000,24180900
2022-08-22,28.340000,28.805000,27.870001,28.000000,28.000000,20233100
2022-08-23,28.059999,28.674999,27.750000,27.809999,27.809999,24298300
2022-08-24,27.930000,29.219999,27.850000,28.709999,28.709999,20022500
2022-08-25,28.889999,29.639999,28.809999,29.620001,29.620001,15470900
2022-08-26,29.510000,29.709999,28.360001,28.580000,28.580000,16490800
2022-08-29,28.100000,29.190001,28.059999,28.740000,28.740000,17245100
2022-08-30,29.180000,29.290001,28.120001,28.709999,28.709999,24409300
2022-08-31,29.110001,29.879999,28.750000,28.760000,28.760000,20740700
2022-09-01,28.170000,28.950001,27.690001,28.920000,28.920000,17828100
2022-09-02,29.500000,29.635000,28.650000,29.049999,29.049999,14596700
2022-09-06,29.340000,29.370001,28.280001,28.889999,28.889999,20422800
2022-09-07,28.910000,30.150000,28.820000,30.030001,30.030001,20632200
2022-09-08,29.420000,30.900000,29.290001,30.680000,30.680000,29393500
2022-09-09,31.000000,32.049999,30.889999,31.780001,31.780001,28039200
2022-09-12,31.950001,32.619999,31.850000,32.500000,32.500000,29349900
2022-09-13,30.690001,31.780001,30.219999,31.320000,31.320000,29364700
2022-09-14,31.250000,33.139999,31.100000,33.049999,33.049999,34493400
2022-09-15,32.950001,34.325001,32.740002,33.130001,33.130001,41803500
